slot_id,slot_width,mac,desc,isiot,dhcp_len,hostname,vendor_class_id,request_params,max_dhcp-size,msg_type,client_id
1546715720.32,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','1','\x014\xe6\xad)d\x8b'
1546715720.32,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','1','\x014\xe6\xad)d\x8b'
1546715723.62,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546715723.62,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546718874.04,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546718874.04,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546718877.34,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546718877.34,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546718882.1,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546718882.1,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546722474.63,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546722474.63,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546722478.92,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546722478.92,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546722939.31,0,e0:94:67:31:ab:f0,lenovo laptop,0,1,'le_computer','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x01\xe0\x94g1\xab\xf0'
1546722939.31,0,e0:94:67:31:ab:f0,lenovo laptop,0,1,'le_computer','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x01\xe0\x94g1\xab\xf0'
1546724668.09,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546724668.09,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546724672.11,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546724672.11,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546724675.86,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546724675.86,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546724740.14,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546724740.14,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546724744.95,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546724744.95,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546724748.82,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546724748.82,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546735663.15,0,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,1,'Galaxy-A7-2017','android-dhcp-8.0.0',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','3','\x01\xac\xaf\xb9w\xadf'
1546735852.73,0,08:62:66:b2:82:d4,Asus ZenPad,0,1,'android-bdc3613cb244e6d9','dhcpcd-5.5.6',1; 3; 6; 33; 15; 51; 58; 59; 28,'1500','3','\x01\x08bf\xb2\x82\xd4'
1546736386.63,0,5c:70:a3:61:5a:04,nexus 5x,0,1,'None','android-dhcp-8.1.0',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','3','\x01\\p\xa3aZ\x04'
1546736395.3,0,f4:f5:e8:57:86:a6,Chromecast,1,1,'Chromecast','dhcpcd-5.2.10:Linux-3.8.13+:armv7l:Marvell Berlin SoC (Flattened Device Tree)',1; 3; 6; 33; 15; 51; 58; 59; 28,'1500','3','None'
1546736637.89,0,dc:0b:34:f2:20:42,LG G3,0,1,'android-16cb7d9344894616','android-dhcp-7.1.2',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','3','\x01\xdc\x0b4\xf2 B'
1546739297.59,0,f4:f5:e8:57:86:a6,Chromecast,1,1,'Chromecast','dhcpcd-5.2.10:Linux-3.8.13+:armv7l:Marvell Berlin SoC (Flattened Device Tree)',1; 3; 6; 33; 15; 51; 58; 59; 28,'1500','1','None'
1546739297.59,0,f4:f5:e8:57:86:a6,Chromecast,1,1,'Chromecast','dhcpcd-5.2.10:Linux-3.8.13+:armv7l:Marvell Berlin SoC (Flattened Device Tree)',1; 3; 6; 33; 15; 51; 58; 59; 28,'1500','1','None'
1546739297.59,0,f4:f5:e8:57:86:a6,Chromecast,1,1,'Chromecast','dhcpcd-5.2.10:Linux-3.8.13+:armv7l:Marvell Berlin SoC (Flattened Device Tree)',1; 3; 6; 33; 15; 51; 58; 59; 28,'1500','3','None'
1546739297.59,0,f4:f5:e8:57:86:a6,Chromecast,1,1,'Chromecast','dhcpcd-5.2.10:Linux-3.8.13+:armv7l:Marvell Berlin SoC (Flattened Device Tree)',1; 3; 6; 33; 15; 51; 58; 59; 28,'1500','3','None'
1546743865.96,0,dc:0b:34:f2:20:42,LG G3,0,1,'android-16cb7d9344894616','android-dhcp-7.1.2',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','1','\x01\xdc\x0b4\xf2 B'
1546743865.96,0,dc:0b:34:f2:20:42,LG G3,0,1,'android-16cb7d9344894616','android-dhcp-7.1.2',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','1','\x01\xdc\x0b4\xf2 B'
1546743865.98,0,dc:0b:34:f2:20:42,LG G3,0,1,'android-16cb7d9344894616','android-dhcp-7.1.2',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','3','\x01\xdc\x0b4\xf2 B'
1546743865.98,0,dc:0b:34:f2:20:42,LG G3,0,1,'android-16cb7d9344894616','android-dhcp-7.1.2',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','3','\x01\xdc\x0b4\xf2 B'
1546744539.72,0,e0:94:67:31:ab:f0,lenovo laptop,0,1,'le_computer','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x01\xe0\x94g1\xab\xf0'
1546746349.41,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546750525.98,0,dc:0b:34:f2:20:42,LG G3,0,1,'android-16cb7d9344894616','android-dhcp-7.1.2',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','1','\x01\xdc\x0b4\xf2 B'
1546750525.98,0,dc:0b:34:f2:20:42,LG G3,0,1,'android-16cb7d9344894616','android-dhcp-7.1.2',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','1','\x01\xdc\x0b4\xf2 B'
1546750526.04,0,dc:0b:34:f2:20:42,LG G3,0,1,'android-16cb7d9344894616','android-dhcp-7.1.2',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','3','\x01\xdc\x0b4\xf2 B'
1546750526.04,0,dc:0b:34:f2:20:42,LG G3,0,1,'android-16cb7d9344894616','android-dhcp-7.1.2',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','3','\x01\xdc\x0b4\xf2 B'
1546750605.8,0,dc:0b:34:f2:20:42,LG G3,0,1,'android-16cb7d9344894616','android-dhcp-7.1.2',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','1','\x01\xdc\x0b4\xf2 B'
1546750605.8,0,dc:0b:34:f2:20:42,LG G3,0,1,'android-16cb7d9344894616','android-dhcp-7.1.2',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','1','\x01\xdc\x0b4\xf2 B'
1546750610.85,0,dc:0b:34:f2:20:42,LG G3,0,1,'android-16cb7d9344894616','android-dhcp-7.1.2',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','3','\x01\xdc\x0b4\xf2 B'
1546750610.85,0,dc:0b:34:f2:20:42,LG G3,0,1,'android-16cb7d9344894616','android-dhcp-7.1.2',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','3','\x01\xdc\x0b4\xf2 B'
1546755882.26,0,5c:70:a3:61:5a:04,nexus 5x,0,1,'None','android-dhcp-8.1.0',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','1','\x01\\p\xa3aZ\x04'
1546755882.26,0,5c:70:a3:61:5a:04,nexus 5x,0,1,'None','android-dhcp-8.1.0',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','1','\x01\\p\xa3aZ\x04'
1546755882.26,0,5c:70:a3:61:5a:04,nexus 5x,0,1,'None','android-dhcp-8.1.0',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','3','\x01\\p\xa3aZ\x04'
1546755882.26,0,5c:70:a3:61:5a:04,nexus 5x,0,1,'None','android-dhcp-8.1.0',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','3','\x01\\p\xa3aZ\x04'
1546715720.32,1,f4:f5:e8:57:86:a6,Chromecast,1,5,'Chromecast','dhcpcd-5.2.10:Linux-3.8.13+:armv7l:Marvell Berlin SoC (Flattened Device Tree)',1; 3; 6; 33; 15; 51; 58; 59; 28,'1500','1'; '3','None'
1546715720.32,1,08:62:66:b2:82:d4,Asus ZenPad,0,1,'android-bdc3613cb244e6d9','dhcpcd-5.5.6',1; 3; 6; 33; 15; 51; 58; 59; 28,'1500','3','\x01\x08bf\xb2\x82\xd4'
1546715720.32,1,e0:94:67:31:ab:f0,lenovo laptop,0,3,'le_computer','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x01\xe0\x94g1\xab\xf0'
1546715720.32,1,dc:0b:34:f2:20:42,LG G3,0,13,'android-16cb7d9344894616','android-dhcp-7.1.2',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','1'; '3','\x01\xdc\x0b4\xf2 B'
1546715720.32,1,34:e6:ad:29:64:8b,Dell laptop,0,27,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','1'; '3','\x014\xe6\xad)d\x8b'
1546715720.32,1,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,1,'Galaxy-A7-2017','android-dhcp-8.0.0',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','3','\x01\xac\xaf\xb9w\xadf'
1546715720.32,1,5c:70:a3:61:5a:04,nexus 5x,0,5,'None','android-dhcp-8.1.0',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','1'; '3','\x01\\p\xa3aZ\x04'
